"kval.0","kval.0.003","kval.0.005","kval.0.008","kval.0.01","kval.0.013","kval.0.015","kval.0.018","kval.0.02","kval.0.023","kval.0.025","kval.0.028","kval.0.03","kval.0.033","kval.0.035","kval.0.038","kval.0.04","kval.0.043","kval.0.045","kval.0.048","kval.0.05","kval.0.053","kval.0.055","kval.0.058","kval.0.06","kval.0.063","kval.0.065","kval.0.068","kval.0.07","kval.0.073","kval.0.075","kval.0.078","kval.0.08","kval.0.083","kval.0.085","kval.0.088","kval.0.09","kval.0.093","kval.0.095","kval.0.098","kval.0.101","kval.0.103","kval.0.106","kval.0.108","kval.0.111","kval.0.113","kval.0.116","kval.0.118","kval.0.121","kval.0.123","kval.0.126","kval.0.128","kval.0.131","kval.0.133","kval.0.136","kval.0.138","kval.0.141","kval.0.143","kval.0.146","kval.0.148","kval.0.151","kval.0.153","kval.0.156","kval.0.158","kval.0.161","kval.0.163","kval.0.166","kval.0.168","kval.0.171","kval.0.173","kval.0.176","kval.0.178","kval.0.181","kval.0.183","kval.0.186","kval.0.188","kval.0.191","kval.0.193","kval.0.196","kval.0.198","kval.0.201","kval.0.204","kval.0.206","kval.0.209","kval.0.211","kval.0.214","kval.0.216","kval.0.219","kval.0.221","kval.0.224","kval.0.226","kval.0.229","kval.0.231","kval.0.234","kval.0.236","kval.0.239","kval.0.241","kval.0.244","kval.0.246","kval.0.249","kval.0.251","kval.0.254","kval.0.256","kval.0.259","kval.0.261","kval.0.264","kval.0.266","kval.0.269","kval.0.271","kval.0.274","kval.0.276","kval.0.279","kval.0.281","kval.0.284","kval.0.286","kval.0.289","kval.0.291","kval.0.294","kval.0.296","kval.0.299","kval.0.302","kval.0.304","kval.0.307","kval.0.309","kval.0.312","kval.0.314","kval.0.317","kval.0.319","kval.0.322","kval.0.324","kval.0.327","kval.0.329","kval.0.332","kval.0.334","kval.0.337","kval.0.339","kval.0.342","kval.0.344","kval.0.347","kval.0.349","kval.0.352","kval.0.354","kval.0.357","kval.0.359","kval.0.362","kval.0.364","kval.0.367","kval.0.369","kval.0.372","kval.0.374","kval.0.377","kval.0.379","kval.0.382","kval.0.384","kval.0.387","kval.0.389","kval.0.392","kval.0.394","kval.0.397","kval.0.399","kval.0.402","kval.0.405","kval.0.407","kval.0.41","kval.0.412","kval.0.415","kval.0.417","kval.0.42","kval.0.422","kval.0.425","kval.0.427","kval.0.43","kval.0.432","kval.0.435","kval.0.437","kval.0.44","kval.0.442","kval.0.445","kval.0.447","kval.0.45","kval.0.452","kval.0.455","kval.0.457","kval.0.46","kval.0.462","kval.0.465","kval.0.467","kval.0.47","kval.0.472","kval.0.475","kval.0.477","kval.0.48","kval.0.482","kval.0.485","kval.0.487","kval.0.49","kval.0.492","kval.0.495","kval.0.497","kval.0.5"
0.0001333400013336,0.00030820582308078,0.000714073355024148,0.00165782408596692,0.00385407845350425,0.00895703700308065,0.0207292222408447,0.0473522875099923,0.104751050489914,0.216335649106354,0.394854959257836,0.606967761389487,0.785356970265623,0.896677728489997,0.95372842842076,0.98001096375492,0.991511765723449,0.996425776765568,0.998501881562317,0.999373933809936,0.999738962790867,0.999891378365276,0.999954885937045,0.999981297133265,0.999992260534124,0.999996803160262,0.999998681937477,0.999999457557547,0.999999777171535,0.999999908634203,0.9999999626071,0.999999984724913,0.999999993771783,0.999999997465305,0.999999998970406,0.999999999582573,0.999999999831086,0.999999999931779,0.9999999999725,0.999999999988936,0.999999999995557,0.99999999999822,0.999999999999288,0.999999999999716,0.999999999999887,0.999999999999955,0.999999999999982,0.999999999999993,0.999999999999997,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.78096239779486e-05,0.000202930312521418,0.000470118756637305,0.00109154573602404,0.00253892465729636,0.00590955656540062,0.0137290157337908,0.0316463942443311,0.0714269110038996,0.153608586080844,0.300254119611667,0.504001089199747,0.706671826469192,0.851144605043027,0.931448862313349,0.970001491647673,0.987191109512857,0.994594787673282,0.997732801851734,0.999052427278941,0.999604965936069,0.999835659736203,0.999931763336912,0.999971719570591,0.999988300722054,0.999995168976067,0.99999800875266,0.999999180753643,0.999999663562861,0.999999862091826,0.999999943575306,0.999999976957057,0.999999990607254,0.999999996178538,0.999999998448167,0.999999999371022,0.999999999745553,0.999999999897263,0.999999999958598,0.999999999983348,0.999999999993315,0.999999999997322,0.999999999998929,0.999999999999573,0.99999999999983,0.999999999999932,0.999999999999973,0.999999999999989,0.999999999999996,0.999999999999998,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.77937102323673e-05,0.000133536719975581,0.00030931371377313,0.000718164685304709,0.00167088176490951,0.00389271439034274,0.00906583051265156,0.0210228930999148,0.0481054194161267,0.106526999545272,0.219927168220002,0.40045240361195,0.613091426830151,0.790067952444486,0.899482261337975,0.9551683385826,0.980696514680993,0.991826185587471,0.996567206217452,0.998564784598729,0.99940170058263,0.999751149125421,0.999896700810123,0.999957200484106,0.999982299630489,0.999992693114435,0.999996989153557,0.999998761634197,0.999999491594559,0.999999791661837,0.999999914783982,0.999999965209256,0.999999985822732,0.99999999423361,0.999999997659038,0.99999999905145,0.999999999616384,0.999999999845153,0.999999999937616,0.999999999974916,0.999999999989933,0.999999999995968,0.999999999998388,0.999999999999357,0.999999999999744,0.999999999999898,0.99999999999996,0.999999999999984,0.999999999999994,0.999999999999997,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.80169617257693e-05,8.7822698315623e-05,0.000203389831077594,0.000472185581187487,0.00109868742206621,0.00256100633200654,0.00597363284781117,0.0139065828626993,0.0321164421002202,0.0725928830228078,0.156186856336135,0.30489339196866,0.510082320113435,0.712183260748539,0.854805308403392,0.933443493664864,0.970979285719464,0.98764592108622,0.994800823575308,0.997824800592311,0.999093137829917,0.99962286434762,0.999843487629798,0.999935171266776,0.999973197076735,0.999988938812037,0.999995443537254,0.999998126478885,0.999999231062465,0.999999684991912,0.999999871190824,0.999999947427023,0.999999978582677,0.99999999129135,0.9999999964656,0.999999998568286,0.999999999421147,0.999999999766413,0.999999999905921,0.999999999962182,0.999999999984828,0.999999999993925,0.999999999997572,0.999999999999032,0.999999999999615,0.999999999999847,0.999999999999939,0.999999999999976,0.99999999999999,0.999999999999996,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.49938636282694e-05,5.77255293855293e-05,0.000133661146158417,0.000310260280144094,0.000721902347350193,0.00168318102992765,0.00392977069120817,0.00917146442016174,0.0213105926517597,0.0488480222763277,0.108284893476047,0.223483020743311,0.405969452965823,0.619077212003435,0.794632400816383,0.902181005394312,0.95654746756247,0.981350988167998,0.992125596373616,0.996701592136082,0.998624434144084,0.99942797947264,0.999762659953055,0.999901718383684,0.999959378149712,0.999983240962298,0.999993098484559,0.999997163093166,0.999998836012896,0.999999523294409,0.999999805128866,0.999999920487376,0.999999967617375,0.999999986836496,0.999999994659148,0.999999997837155,0.999999999125798,0.999999999647332,0.999999999858001,0.999999999942936,0.999999999977113,0.999999999990838,0.99999999999634,0.99999999999854,0.999999999999419,0.999999999999769,0.999999999999909,0.999999999999964,0.999999999999986,0.999999999999994,0.999999999999998,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.64228610236079e-05,3.79215197919294e-05,8.7787292789294e-05,0.000203739948988858,0.000474009451818772,0.00110529980921072,0.00258196270243216,0.00603539426949139,0.0140796026874831,0.0325780945897646,0.0737442447640148,0.158738771220904,0.309476191220559,0.516049865081749,0.717543690606484,0.858337763274869,0.935357487417948,0.97191398376761,0.98807947893172,0.994996784300165,0.997912121186445,0.999131702519348,0.999639786573568,0.999850874282602,0.999938380839506,0.999974585849581,0.999989537388574,0.999995700578514,0.999998236468798,0.999999277968616,0.999999704930059,0.999999879638982,0.99999995099564,0.999999980085585,0.999999991922436,0.999999996729838,0.999999998678613,0.999999999467084,0.999999999785487,0.99999999991382,0.999999999965445,0.999999999986172,0.999999999994477,0.999999999997798,0.999999999999124,0.999999999999652,0.999999999999862,0.999999999999945,0.999999999999978,0.999999999999991,0.999999999999997,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.078508562182e-05,2.48978014602341e-05,5.7625070731929e-05,0.000133711963944955,0.000311041448227955,0.000725274638406006,0.00169468988026174,0.00396516310142453,0.00927372448599719,0.0215917975805682,0.0495788893919639,0.110022204342198,0.226998773744082,0.411400730981417,0.624922282091076,0.799051371066135,0.904776418999788,0.957867798399341,0.981975583120727,0.992410641254405,0.996829260662875,0.998680990672088,0.999452847982241,0.999773532212872,0.999906448509651,0.999961427080773,0.99998412490893,0.999993478386559,0.99999732577689,0.999998905436837,0.999999552821623,0.999999817646761,0.999999925777638,0.999999969846303,0.999999987772807,0.99999999505132,0.999999998000947,0.999999999194014,0.999999999675664,0.999999999869736,0.999999999947784,0.99999999997911,0.999999999991659,0.999999999996676,0.999999999998678,0.999999999999475,0.999999999999792,0.999999999999918,0.999999999999968,0.999999999999987,0.999999999999995,0.999999999999998,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.07876397418686e-06,1.6337815529429e-05,3.78047371696504e-05,8.77027268278232e-05,0.000203978391766477,0.000475583538077367,0.00111136363961348,0.0026017418150285,0.00609470567044468,0.0142477362943413,0.0330305412303242,0.0748791965788849,0.161260825494175,0.313997240533201,0.521899128005206,0.722752379295139,0.861744035143889,0.937193125230989,0.972807124709531,0.988492648689858,0.99518311894823,0.997994987345861,0.999168230201671,0.999655784760135,0.999857844384136,0.999941403633739,0.999975891274899,0.999990098938771,0.999995941240899,0.999998339242782,0.999999321708112,0.999999723483795,0.999999887484118,0.999999954302532,0.999999981475293,0.99999999250473,0.999999996973115,0.999999998779963,0.999999999509188,0.999999999802931,0.999999999921028,0.999999999968415,0.999999999987392,0.999999999994977,0.999999999998003,0.999999999999208,0.999999999999686,0.999999999999876,0.999999999999951,0.999999999999981,0.999999999999992,0.999999999999997,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.64354722935946e-06,1.07148136243884e-05,2.47877271092791e-05,5.74920126886582e-05,0.000133687957308613,0.000311653335544894,0.00072827018630806,0.00170537677098901,0.00399880759260419,0.00937239484504373,0.0218659756165195,0.0502967830987171,0.111736324629691,0.230469858957549,0.416740753760894,0.630623774661556,0.803325856703545,0.90727085397566,0.959131224613048,0.982571442938014,0.992681933056414,0.996950522177786,0.998734606651182,0.999476379598731,0.999783800850204,0.999910907630931,0.999963354946194,0.999984955019761,0.999993834451967,0.999997477950036,0.999998970244551,0.999999580329151,0.999999829284284,0.999999930685534,0.999999971909746,0.999999988637743,0.999999995412812,0.999999998151594,0.999999999256617,0.999999999701607,0.999999999880458,0.999999999952202,0.999999999980926,0.999999999992403,0.999999999996981,0.999999999998802,0.999999999999526,0.999999999999813,0.999999999999926,0.999999999999971,0.999999999999989,0.999999999999996,0.999999999999998,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.04439041725215e-06,7.02316043333165e-06,1.62436336749704e-05,3.76664874662716e-05,8.75683920662547e-05,0.000204103029431663,0.00047690127779137,0.0011168600900923,0.00262029221199555,0.00615143167540467,0.0144106407852808,0.0334729543244248,0.0759958861116193,0.163749397948235,0.318451113429025,0.527625434718054,0.72780854415688,0.865026092980389,0.938952586903788,0.973660177312382,0.9888862558586,0.995360255340416,0.998073611860283,0.99920282421606,0.999670908300056,0.999864421263151,0.999944250562205,0.999977118415684,0.999990625794699,0.999996166591629,0.999998435286335,0.999999362500608,0.999999740751993,0.999999894770523,0.999999957367447,0.999999982760571,0.999999993042107,0.999999997197138,0.999999998873087,0.99999999954779,0.999999999818888,0.999999999927606,0.999999999971119,0.999999999988501,0.99999999999543,0.999999999998188,0.999999999999283,0.999999999999717,0.999999999999888,0.999999999999956,0.999999999999983,0.999999999999993,0.999999999999998,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
